"","NAME","GEOID","hh_type_total_countE","aff_grade_avg","aff_grade_1","aff_grade_2","aff_grade_3","aff_grade_4","aff_grade_5","aff_grade_6","aff_grade_7","HBI_size_avg","HBI_size_1","HBI_size_2","HBI_size_3","HBI_size_4","HBI_size_5","HBI_size_6","HBI_size_7","PPI","hh_income_upper_limit_Q1E","hh_size_avg_overallE","white_perc","Cutoff_Perc","CAP_Perc","bachAbove","own_rate","Incentive_rate","Interrup","boil_rate"
"36","Census Tract 8465.24, DuPage County, Illinois","17043846524",1723,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.27169967851262,0.6917661958869,1.01575138171133,1.33973656753575,1.66372175336018,1.98770693918461,2.31169212500903,2.63567731083346,7.52620545073375,62907,2.79,0.701790920449813,1.17918821649608,1.07369482669876,65.1062519248537,82.7571845064556,15.5277571046217,0,0
"37","Census Tract 8464.11, DuPage County, Illinois","17043846411",1881,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.46090350355001,0.872485034878946,1.28110897145607,1.68973290803319,2.09835684461032,2.50698078118744,2.91560471776457,3.32422865434169,16.11426079372,49877,2.44,0.552405498281787,2.43105846259754,2.10461994223328,60.6921318968332,42.0409943305713,7.2274884024119,0,0
"38","Census Tract 8464.12, DuPage County, Illinois","17043846412",1737,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.39928068510773,0.859729657716918,1.26237967815782,1.66502969859872,2.06767971903963,2.47032973948053,2.87297975992143,3.27562978036234,12.7424502823472,50617,2.34,0.747403314917127,1.81643688782692,1.67878910686872,59.3978368897983,60.5948869223205,10.0279407939765,0,0
"39","Census Tract 8465.19, DuPage County, Illinois","17043846519",1147,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.31948793410152,0.758332945624418,1.11349433073651,1.4686557158486,1.82381710096068,2.17897848607277,2.53413987118486,2.88930125629695,17.0097873776578,57385,2.58,0.656429294633817,2.36040185865568,2.11711237919789,61.3555892766818,51.9068511643604,8.72004285217609,0,0
"40","Census Tract 8461.06, DuPage County, Illinois","17043846106",1579,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.13918505345288,0.684174767465721,1.00460454632992,1.32503432519411,1.64546410405831,1.96589388292251,2.2863236617867,2.6067534406509,7.98747063429914,63605,2.42,0.701905507700339,1.16341664988077,1.05937422120702,69.5244956772334,74.5087765260676,14.008556053306,0,0
"41","Census Tract 8461.05, DuPage County, Illinois","17043846105",1255,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.38812402091025,0.745599864382031,1.09479777553867,1.44399568669531,1.79319359785195,2.14239150900858,2.49158942016522,2.84078733132186,10.4096520763187,58365,2.84,0.880751964085297,1.51846709134605,1.46414482587281,72.1486544211875,85.6060606060606,17.273131429268,0,0
"42","Census Tract 8462.05, DuPage County, Illinois","17043846205",1255,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.38324474577788,0.715962818720607,1.05128037000567,1.38659792129073,1.72191547257579,2.05723302386085,2.39255057514591,2.72786812643097,11.5128955065142,60781,2.99,0.807814992025518,1.64435996743688,1.54955356740045,70.9941520467836,92.2012243811552,19.0612689059247,0,0
"43","Census Tract 8461.04, DuPage County, Illinois","17043846104",1518,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.94160163821041,1.01480658748793,1.49008610067894,1.96536561386996,2.44064512706098,2.915924640252,3.39120415344301,3.86648366663403,13.6535468089838,42882,2.95,0.761154273029967,2.6383181826735,2.44927287537782,59.9229961498075,84.6875,15.3550630067535,0,0
"44","Census Tract 8801.20, Will County, Illinois","17197880120",3090,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.25683730772236,0.589125537583186,0.865039492186151,1.14095344678912,1.41686740139208,1.69278135599505,1.96869531059801,2.24460926520098,5.91743987881083,73867,3.42,0.499621283847756,1.04934439421507,0.891823513981401,51.2229210342418,92.899072145427,16.3859220650303,0,0
"45","Census Tract 8465.21, DuPage County, Illinois","17043846521",2010,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.22598089326306,0.687927789127971,1.01011527663401,1.33230276414006,1.6544902516461,1.97667773915214,2.29886522665818,2.62105271416422,5.6617783552998,63258,2.67,0.819884993507698,1.02280995485015,0.967542928352681,72.8050800662617,88.1094157052475,18.0974232651442,0,0
